municipality,municipality_geojson,district,section1,section2,section3,section4,section5,section6,excluded,total
Rouvroy,Rouvroy,Lamorteau,8,,,,,,,8
Rouvroy,Rouvroy,Torgny,3,,,,,,,3
Sainte-Ode,Sainte-Ode,Amberloup,38,,,,,,,38
Sainte-Ode,Sainte-Ode,Lavacherie,24,,,,,,,24
Sainte-Ode,Sainte-Ode,Tillet,20,,,,,,13,33
Saint-Hubert,Saint-Hubert,Arville,25,,,,,,,25
Saint-Hubert,Saint-Hubert,Awenne,13,,,,,,,13
Saint-Hubert,Saint-Hubert,Hatrival,19,,,,,,,19
Saint-Hubert,Saint-Hubert,Mirwart,9,,,,,,,9
Saint-Hubert,Saint-Hubert,Saint-Hubert,28,,,,,,,28
Saint-Hubert,Saint-Hubert,Vesqueville,11,,,,,,,11
Saint-Léger,Saint-Léger,Châtillon,11,,,,,,,11
Saint-Léger,Saint-Léger,Meix-le-Tige,13,,,,,,,13
Saint-Léger,Saint-Léger,Saint-Léger,17,,,,,,,17
Tellin,Tellin,Bure,16,,,,,,,16
Tellin,Tellin,Grupont,4,,,,,,,4
Tellin,Tellin,Resteigne,8,,,,,,,8
Tellin,Tellin,Tellin,19,,,,,,,19
Tenneville,Tenneville,Champlon,22,,,,,,,22
Tenneville,Tenneville,Erneuville,16,1,,1,,,,18
Tenneville,Tenneville,Tenneville,32,,,,,,,32
Tintigny,Tintigny,Bellefontaine,12,,,,,,,12
Tintigny,Tintigny,Rossignol,6,,,,,,,6
Tintigny,Tintigny,Saint-Vincent,7,,,,,,,7
Tintigny,Tintigny,Tintigny,19,,,,,,,19
Vaux-sur-Sûre,Vaux-sur-Sûre,Hompré,,,,,,,17,17
Vaux-sur-Sûre,Vaux-sur-Sûre,Juseret,,,,,,,12,12
Vaux-sur-Sûre,Vaux-sur-Sûre,Morhet,,,,,,,14,14
Vaux-sur-Sûre,Vaux-sur-Sûre,Nives,,,,,,,10,10
Vaux-sur-Sûre,Vaux-sur-Sûre,Sibret,,,,,,,17,17
Vaux-sur-Sûre,Vaux-sur-Sûre,Vaux-lez-Rosières,,,,,,,9,9
Vielsalm,Vielsalm,Bihain,,44,,4,,,,48
Vielsalm,Vielsalm,Grand-Halleux,,28,,,,,,28
Vielsalm,Vielsalm,Petit-Thier,,16,,,,,,16
Vielsalm,Vielsalm,Vielsalm,,69,,,,,,69
Virton,Virton,Bleid,11,,,,,,,11
Virton,Virton,Ethe,21,,,,,,,21
Virton,Virton,Latour,10,,,,,,2,12
Virton,Virton,Ruette,11,,,,,,,11
Virton,Virton,Saint-Mard,20,,,,,,,20
Virton,Virton,Virton,29,,,,,,,29
Wellin,Wellin,Chanly,5,,,,,,,5
Wellin,Wellin,Halma,3,,9,,,,,12
Wellin,Wellin,Lomprez,,,7,,,,,7
Wellin,Wellin,Sohier,,,8,,,,,8
Wellin,Wellin,Wellin,6,,19,,,,,25
Andenne,Andenne,Andenne,,,,87,,,3,90
Andenne,Andenne,Bonneville,,,,18,,,,18
Andenne,Andenne,Coutisse,,,,29,,,6,35
Andenne,Andenne,Landenne,,,,26,,,,26
Andenne,Andenne,Maizeret,,,,4,,,,4
Andenne,Andenne,Namêche,,,21,1,,,,22
Andenne,Andenne,Sclayn,,,,21,,,,21
Andenne,Andenne,Seilles,,,,31,,,,31
Andenne,Andenne,Thon,,,,9,,,,9
Andenne,Andenne,Vezin,,,,26,,,,26
Anhée,Anhée,Anhée,,,35,,,,,35
Anhée,Anhée,Annevoie-Rouillon,,,7,,,,,7
Anhée,Anhée,Bioul,,,,,,,23,23
Anhée,Anhée,Denee,,,3,,,,10,13
Anhée,Anhée,Sosoye,,,,,,,7,7
Assesse,Assesse,Assesse,,,3,32,,,,35
Assesse,Assesse,Courrière,,,19,,,,,19
Assesse,Assesse,Crupet,,,,12,,,,12
Assesse,Assesse,Florée,,,,18,,,,18
Assesse,Assesse,Maillen,,,16,3,,,6,25
Assesse,Assesse,Sart-Bernard,,,19,,,,,19
Assesse,Assesse,Sorinne-La-Longue,,,2,,,,,2
Beauraing,Beauraing,Baronville,,,7,,,,,7
Beauraing,Beauraing,Beauraing,,,48,,,,,48
Beauraing,Beauraing,Dion,,,14,,,,,14
Beauraing,Beauraing,Felenne,,,5,,,,,5
Beauraing,Beauraing,Feschaux,,,10,,,,,10
Beauraing,Beauraing,Focant,,,7,,,,,7
Beauraing,Beauraing,Froidfontaine,,,7,,,,,7
Beauraing,Beauraing,Honnay,,,5,,,,,5
Beauraing,Beauraing,Javingue,,,9,,,,,9
Beauraing,Beauraing,Martouzin-Neuville,,,3,,,,,3
Beauraing,Beauraing,Pondrôme,,,24,,,,,24
Beauraing,Beauraing,Vonêche,,,6,,,,,6
Beauraing,Beauraing,Wancennes,,,6,,,,,6
Beauraing,Beauraing,Wiesme,,,3,,,,,3
Beauraing,Beauraing,Winenne,,,18,,,,,18
Bièvre,Bièvre,Bièvre,20,,,,,,,20
Bièvre,Bièvre,Graide,19,,,,,,,19
Bièvre,Bièvre,Monceau-en-Ardenne,16,,,,,,,16
Bièvre,Bièvre,Naomé,7,,,,,,,7
Bièvre,Bièvre,Oizy,13,,,,,,,13
Cerfontaine,Cerfontaine,Cerfontaine,,,,,,,27,27
Cerfontaine,Cerfontaine,Daussois,,,6,,,,,6
Cerfontaine,Cerfontaine,Senzeille,,,,,,,10,10
Cerfontaine,Cerfontaine,Silenrieux,,,22,,,,1,23
Cerfontaine,Cerfontaine,Soumoy,,,1,,,,1,2
Cerfontaine,Cerfontaine,Villers-Deux-Eglises,,,,,,,9,9
Ciney,Ciney,Achêne,,,,28,,,,28
Ciney,Ciney,Braibant,,,,14,,,,14
Ciney,Ciney,Chevetogne,12,,,,,,,12
Ciney,Ciney,Ciney,,,,112,,,,112
Ciney,Ciney,Conneux,,,,15,,,,15
Ciney,Ciney,Leignon,,,,28,,,,28
Ciney,Ciney,Pessoux,,,,13,,,,13
Ciney,Ciney,Serinchamps,,,,22,,,,22
Ciney,Ciney,Sovet,,,,20,,,,20
Couvin,Couvin,Aublain,,,2,,,,,2
Couvin,Couvin,Boussu-en-Fagne,,,2,,,,14,16
Couvin,Couvin,Brûly,,,,,,,,0
Couvin,Couvin,Brûly-de-Pesche,,,,,,,,0
Couvin,Couvin,Couvin,,,41,,,,,41
Couvin,Couvin,Cul-des-Sarts,,,,,,,,0
Couvin,Couvin,Dailly,,,,,,,,0
Couvin,Couvin,Frasnes,,,20,,,,6,26
Couvin,Couvin,Gonrieux,,,,,,,,0
Couvin,Couvin,Mariembourg,,,1,,,,6,7
Couvin,Couvin,Pesche,,,5,,,,,5
Couvin,Couvin,Petigny,,,10,,,,,10
Couvin,Couvin,Petite-Chapelle,,,,,,,,0
Couvin,Couvin,Presgaux,,,,,,,,0
Dinant,Dinant,Dinant,,,,9,,,99,108
Dinant,Dinant,Falmagne,,,13,,,,,13
Dinant,Dinant,Falmignoul,,,4,,,,,4
Dinant,Dinant,Foy-Notre-Dame,,,,,,,4,4
Dinant,Dinant,Furfooz,,,,,,,9,9
Dinant,Dinant,Lisogne,,,,18,,,,18
Dinant,Dinant,Sorinnes,,,,12,,,2,14
Dinant,Dinant,Thynes,,,,12,,,,12
Doische,Doische,Doische,,,10,,,,,10
Doische,Doische,Gimnée,,,6,,,,,6
Doische,Doische,Gochenée,,,6,,,,,6
Doische,Doische,Matagne-la-Grande,,,7,,,,,7
Doische,Doische,Matagne-la-Petite,,,13,,,,,13
Doische,Doische,Niverlée,,,5,,,,,5
Doische,Doische,Romerée,,,9,,,,,9
Doische,Doische,Soulme,,,8,,,,,8
Doische,Doische,Vaucelles,,,,,,,,0
Doische,Doische,Vodelée,,,3,,,,,3
Eghezée,Éghezée,Aische-En-Refail,,,22,,,,,22
Eghezée,Éghezée,Bolinne,,,7,,,,,7
Eghezée,Éghezée,Boneffe,,,5,,,,,5
Eghezée,Éghezée,Branchon,,,6,,,,,6
Eghezée,Éghezée,Dhuy,,,13,,,,,13
Eghezée,Éghezée,Eghezee,,,27,,,,,27
Eghezée,Éghezée,Hanret,,,16,,,,,16
Eghezée,Éghezée,Leuze,,,20,,,,,20
Eghezée,Éghezée,Liernu,,,11,,,,,11
Eghezée,Éghezée,Longchamps,,,9,,,,,9
Eghezée,Éghezée,Mehaigne,,,7,,,,,7
Eghezée,Éghezée,Noville-sur-Méhaigne,,,15,,,,,15
Eghezée,Éghezée,Saint-Germain,,,8,,,,,8
Eghezée,Éghezée,Taviers,,,7,,,,,7
Eghezée,Éghezée,Upigny,,,6,,,,,6
Eghezée,Éghezée,Waret-la-Chaussée,,,12,,,,,12
Fernelmont,Fernelmont,Bierwart,,,8,,,,,8
Fernelmont,Fernelmont,Cortil-Wodon,,,20,,,,,20
Fernelmont,Fernelmont,Forville,,,17,,,,,17
Fernelmont,Fernelmont,Franc-Waret,,,3,,,,5,8
Fernelmont,Fernelmont,Hemptinne,,,4,,,,,4
Fernelmont,Fernelmont,Hingeon,,,,,,,10,10
Fernelmont,Fernelmont,Marchovelette,,,2,,,,10,12
Fernelmont,Fernelmont,Noville-les-Bois,,,23,,,,,23
Fernelmont,Fernelmont,Pontillas,,,7,1,,,1,9
Fernelmont,Fernelmont,Tillier,,,6,,,,,6
Floreffe,Floreffe,Floreffe,,,25,,,,19,44
Floreffe,Floreffe,Floriffoux,,,26,,,,1,27
Floreffe,Floreffe,Franière,,,22,,,,,22
Floreffe,Floreffe,Soye,,,8,,,,,8
Florennes,Florennes,Corenne,,,7,,,,,7
Florennes,Florennes,Flavion,,,11,,,,,11
Florennes,Florennes,Florennes,,,36,,,,1,37
Florennes,Florennes,Hanzinelle,,,9,,,,,9
Florennes,Florennes,Hanzinne,,,9,,,,,9
Florennes,Florennes,Hemptinne,,,,,,,10,10
Florennes,Florennes,Morialmé,,,22,,,,,22
Florennes,Florennes,Morville,,,15,,,,,15
Florennes,Florennes,Rosée,,,17,,,,,17
Florennes,Florennes,Saint-Aubin,,,5,,,,1,6
Florennes,Florennes,Thy-le-Bauduin,,,1,,,,,1
Fosses-la-Ville,Fosses-la-Ville,Aisemont,,,7,1,,,4,12
Fosses-la-Ville,Fosses-la-Ville,Fosses-la-Ville,,,51,,,,,51
Fosses-la-Ville,Fosses-la-Ville,Le Roux,,,17,,,,1,18
Fosses-la-Ville,Fosses-la-Ville,Sart-Eustache,,,13,,,,,13
Fosses-la-Ville,Fosses-la-Ville,Sart-Saint-Laurent,,,10,,,,1,11
Fosses-la-Ville,Fosses-la-Ville,Vitrival,,,15,,,,,15
Gedinne,Gedinne,Bourseigne-Neuve,1,,2,,,,,3
Gedinne,Gedinne,Bourseigne-Vieille,,,4,,,,,4
Gedinne,Gedinne,Gedinne,21,,1,,,,,22
Gedinne,Gedinne,Houdremont,4,,,,,,,4
Gedinne,Gedinne,Louette-Saint-Denis,7,,,,,,,7
Gedinne,Gedinne,Louette-Saint-Pierre,3,,,,,,,3
Gedinne,Gedinne,Malvoisin,,,6,,,,,6
Gedinne,Gedinne,Patignies,,,9,,,,,9
Gedinne,Gedinne,Rienne,6,,,,,,,6
Gedinne,Gedinne,Sart-Custinne,5,,,,,,,5
Gedinne,Gedinne,Vencimont,,,11,,,,,11
Gedinne,Gedinne,Willerzie,4,,,,,,,4
Gembloux,Gembloux,Beuzet,,,12,,,,,12
Gembloux,Gembloux,Bossière,,,20,,,,,20
Gembloux,Gembloux,Bothey,,,5,,,,,5
Gembloux,Gembloux,Corroy-le-Château,,,13,,,,,13
Gembloux,Gembloux,Gembloux,,,148,,,,,148
Gembloux,Gembloux,Grand-Leez,,,20,,,,,20
Gembloux,Gembloux,Isnes,,,3,,,,8,11
Gembloux,Gembloux,Mazy,,,16,,,,,16
Gesves,Gesves,Faulx-les-Tombes,,,1,49,,,,50
Gesves,Gesves,Gesves,,,,77,,,,77
Gesves,Gesves,Haltinne,,,,27,,,,27
Gesves,Gesves,Mozet,,,,29,,,,29
Gesves,Gesves,Sorée,,,,9,,,,9
Hamois,Hamois,Achet,,,,12,,,,12
Hamois,Hamois,Emptinne,,,,21,,,,21
Hamois,Hamois,Hamois,,,,36,,,,36
Hamois,Hamois,Mohiville,,,,12,,,,12
Hamois,Hamois,Natoye,,,,24,,,,24
Hamois,Hamois,Schaltin,,,,16,,,,16
Hamois,Hamois,Scy,,,,9,,,,9
Hastière,Hastière,Agimont,,,21,,,,,21
Hastière,Hastière,Blaimont,,,20,,,,,20
Hastière,Hastière,Hastière-Lavaux,,,26,,,,,26
Hastière,Hastière,Hastière-par-Delà,,,12,,,,,12
Hastière,Hastière,Heer,,,10,,,,,10
Hastière,Hastière,Hermeton-sur-Meuse,,,16,,,,,16
Hastière,Hastière,Waulsort,,,20,,,,1,21
Havelange,Havelange,Barvaux-Condroz,,,,10,,,,10
Havelange,Havelange,Flostoy,,,,18,,,,18
Havelange,Havelange,Havelange,,,,40,,,,40
Havelange,Havelange,Jeneffe,,,,5,,,,5
Havelange,Havelange,Maffe,,,,10,,,,10
Havelange,Havelange,Méan,,,,20,,,,20
Havelange,Havelange,Miécret,,,,15,,,,15
Havelange,Havelange,Porcheresse,,,,11,,,,11
Havelange,Havelange,Verlée,,,,8,,,,8
Houyet,Houyet,Celles,,,,,,,27,27
Houyet,Houyet,Ciergnon,6,,1,,,,3,10
Houyet,Houyet,Custinne,,,,,,,10,10
Houyet,Houyet,Finnevaux,,,6,,,,,6
Houyet,Houyet,Hour,,,17,,,,,17
Houyet,Houyet,Houyet,,,14,,,,6,20
Houyet,Houyet,Hulsonniaux,,,10,,,,3,13
Houyet,Houyet,Mesnil-Eglise,,,5,,,,,5
Houyet,Houyet,Mesnil-Saint-Blaise,,,16,,,,,16
Houyet,Houyet,Wanlin,,,14,,,,,14
Jemeppe-sur-Sambre,Jemeppe-sur-Sambre,Balâtre,,,,,,,5,5
Jemeppe-sur-Sambre,Jemeppe-sur-Sambre,Ham-sur-Sambre,,,1,,,,26,27
Jemeppe-sur-Sambre,Jemeppe-sur-Sambre,Jemeppe-sur-Sambre,,,,,,,50,50
Jemeppe-sur-Sambre,Jemeppe-sur-Sambre,Mornimont,,,1,,,,12,13
Jemeppe-sur-Sambre,Jemeppe-sur-Sambre,Moustrier-sur-Sambre,,,,,,,13,13
Jemeppe-sur-Sambre,Jemeppe-sur-Sambre,Onoz,,,,,,,6,6
Jemeppe-sur-Sambre,Jemeppe-sur-Sambre,Saint-Martin,,,3,,,,2,5
Jemeppe-sur-Sambre,Jemeppe-sur-Sambre,Spy,,,8,,,,32,40
La Bruyère,La Bruyère,Bovesse,,,11,,,,1,12
La Bruyère,La Bruyère,Emines,,,18,,,,,18
La Bruyère,La Bruyère,Meux,,,24,,,,,24
La Bruyère,La Bruyère,Rhisnes,,,19,,,,,19
La Bruyère,La Bruyère,Saint-Denis,,,12,,,,,12
La Bruyère,La Bruyère,Villers-lez-Heest,,,3,,,,,3
La Bruyère,La Bruyère,Warisoulx,,,6,,,,,6
Mettet,Mettet,Biesme,,,33,,,,,33
Mettet,Mettet,Biesmerée,,,6,,,,,6
Mettet,Mettet,Ermeton-Sur-Biert,,,15,,,,,15
Mettet,Mettet,Furnaux,,,8,,,,,8
Mettet,Mettet,Graux,,,4,,,,,4
Mettet,Mettet,Mettet,,,63,,,,,63
Mettet,Mettet,Oret,,,8,,,,,8
Mettet,Mettet,Saint-Gérard,,,13,,,,6,19
Mettet,Mettet,Stave,,,19,,,,,19
Namur,Namur,Beez,,,7,,,,15,22
Namur,Namur,Belgrade,,,5,,,,30,35
Namur,Namur,Boninne-Gelbressée,,,,,,,18,18
Namur,Namur,Bouge,,,,,,,59,59
Namur,Namur,Champion-Cognelee,,,6,,,,39,45
Namur,Namur,Dave,,,24,,,,,24
Namur,Namur,Erpent,,,18,,,,7,25
Namur,Namur,Flawinne,,,,,,,29,29
Namur,Namur,Jambes,,,13,,,,105,118
Namur,Namur,Lives-sur-Meuse,,,8,,,,2,10
Namur,Namur,Loyers,,,17,1,,,1,19
Namur,Namur,Malonne,,,,,,,50,50
Namur,Namur,Marche-les-Dames,,,5,,,,9,14
Namur,Namur,Namur,,,3,,,,138,141
Namur,Namur,Naninne,,,39,,,,,39
Namur,Namur,Saint-Marc,,,,,,,6,6
Namur,Namur,Saint-Servais,,,25,,,,7,32
Namur,Namur,Suarlée,,,8,,,,28,36
Namur,Namur,Temploux,,,35,,,,1,36
Namur,Namur,Vedrin-Daussoulx,,,16,,,,31,47
Namur,Namur,Wépion,,,,,,,100,100
Namur,Namur,Wierde,,,25,,,,,25
Ohey,Ohey,Evelette,,,,15,,,,15
Ohey,Ohey,Goesnes,,,,5,,,,5
Ohey,Ohey,Haillot,,,,20,,,,20
Ohey,Ohey,Jallet,,,,3,,,,3
Ohey,Ohey,Ohey,,,,24,,,,24
Ohey,Ohey,Perwez,,,,7,,,,7
Onhaye,Onhaye,Anthée,,,10,,,,,10
Onhaye,Onhaye,Falaën,,,13,,,,,13
Onhaye,Onhaye,Gerin,,,6,,,,,6
Onhaye,Onhaye,Onhaye,,,29,,,,,29
Onhaye,Onhaye,Serville,,,5,,,,,5
Onhaye,Onhaye,Sommière,,,9,,,,,9
Onhaye,Onhaye,Weillen,,,9,,,,,9
Philippeville,Philippeville,Fagnolle,,,4,,,,,4
Philippeville,Philippeville,Franchimont,,,,,,,6,6
Philippeville,Philippeville,Jamagne,,,,,,,5,5
Philippeville,Philippeville,Jamiolle,,,,,,,3,3
Philippeville,Philippeville,Merlemont,,,,,,,11,11
Philippeville,Philippeville,Neuville,,,,,,,17,17
Philippeville,Philippeville,Omezée,,,2,,,,,2
Philippeville,Philippeville,Philippeville,,,,,,,34,34
Philippeville,Philippeville,Roly,,,,,,,9,9
Philippeville,Philippeville,Romedenne,,,10,,,,,10
Philippeville,Philippeville,Samart,,,,,,,8,8
Philippeville,Philippeville,Sart-en-Fagne,,,,,,,4,4
Philippeville,Philippeville,Sautour,,,,,,,3,3
Philippeville,Philippeville,Surice,,,8,,,,,8
Philippeville,Philippeville,Villers-en-Fagne,,,,,,,3,3
Philippeville,Philippeville,Villers-le-Gambon,,,1,,,,12,13
Philippeville,Philippeville,Vodecée,,,,,,,4,4
Profondeville,Profondeville,Arbre,,,,,,,13,13
Profondeville,Profondeville,Bois-de-Villers,,,,,,,38,38
Profondeville,Profondeville,Lesve,,,,,,,34,34
Profondeville,Profondeville,Lustin,,,1,,,,33,34
Profondeville,Profondeville,Profondeville,,,,,,,34,34
Profondeville,Profondeville,Rivière,,,,,,,10,10
Rochefort,Rochefort,Ave-Et-Auffe,,,15,,,,,15
Rochefort,Rochefort,Buissonville,15,,,,,,,15
Rochefort,Rochefort,Eprave,11,,1,,,,,12
Rochefort,Rochefort,Han-sur-Lesse,11,,,,,,,11
Rochefort,Rochefort,Jemelle,17,,,,,,,17
Rochefort,Rochefort,Lavaux-Sainte-Anne,,,9,,,,,9
Rochefort,Rochefort,Lessive,2,,1,,,,,3
Rochefort,Rochefort,Mont-Gauthier,7,,,,,,9,16
Rochefort,Rochefort,Rochefort,61,,,,,,,61
Rochefort,Rochefort,Villers-sur-Lesse,17,,1,,,,,18
Rochefort,Rochefort,Wavreille,11,,1,,,,,12
Sambreville,Sambreville,Arsimont,,,4,,,,15,19
Sambreville,Sambreville,Auvelais,,,,,,,60,60
Sambreville,Sambreville,Falisolle,,,,,,,22,22
Sambreville,Sambreville,Keumiée,,,,,,,2,2
Sambreville,Sambreville,Moignelée,,,,,,,9,9
Sambreville,Sambreville,Tamines,,,,,,,38,38
Sambreville,Sambreville,Velaine,,,,,,,31,31
Sombreffe,Sombreffe,Boignée,,,,5,,,5,10
Sombreffe,Sombreffe,Ligny,,,,27,,,,27
Sombreffe,Sombreffe,Sombreffe,,,31,1,,,,32
Sombreffe,Sombreffe,Tongrinne,,,25,2,,,,27
Somme-Leuze,Somme-Leuze,Baillonville,,,,19,,,,19
Somme-Leuze,Somme-Leuze,Bonsin,,,,10,,,,10
Somme-Leuze,Somme-Leuze,Heure,,,,24,,,,24
Somme-Leuze,Somme-Leuze,Hogne,,,,8,,,,8
Somme-Leuze,Somme-Leuze,Nettinne,,,,10,,,,10
Somme-Leuze,Somme-Leuze,Noiseux,,,,26,,,,26
Somme-Leuze,Somme-Leuze,Sinsin,,,,18,,,,18
Somme-Leuze,Somme-Leuze,Somme-Leuze,,,,26,,,,26
Somme-Leuze,Somme-Leuze,Waillet,,,,2,,,,2
Viroinval,Viroinval,Dourbes,,,6,,,,,6
Viroinval,Viroinval,Le Mesnil,,,,,,,,0
Viroinval,Viroinval,Mazée,,,8,,,,,8
Viroinval,Viroinval,Nismes,,,13,,,,,13
Viroinval,Viroinval,Oignies-en-Thiérache,,,16,,,,,16
Viroinval,Viroinval,Olloy-Sur-Viroin,,,6,,,,,6
Viroinval,Viroinval,Treignes,,,10,,,,,10
Viroinval,Viroinval,Vierves-sur-Viroin,,,5,,,,,5
Vresse-sur-Semois,Vresse-sur-Semois,Alle,18,,,,,,,18
Vresse-sur-Semois,Vresse-sur-Semois,Bohan,11,,,,,,,11
Vresse-sur-Semois,Vresse-sur-Semois,Nafraiture,5,,,,,,,5
Vresse-sur-Semois,Vresse-sur-Semois,Orchimont,7,,,,,,,7
Vresse-sur-Semois,Vresse-sur-Semois,Sugny,10,,,,,,,10
Vresse-sur-Semois,Vresse-sur-Semois,Vresse,17,,,,,,,17
Walcourt,Walcourt,Berzée,,,6,,,,,6
Walcourt,Walcourt,Castillon,,,9,,,,,9
Walcourt,Walcourt,Chastrès,,,17,,,,,17
Walcourt,Walcourt,Clermont,,,19,,,,,19
Walcourt,Walcourt,Fontenelle,,,4,,,,,4
Walcourt,Walcourt,Fraire,,,7,,,,15,22
Walcourt,Walcourt,Gourdinne,,,10,,,,,10
Walcourt,Walcourt,Laneffe,,,23,,,,1,24
Walcourt,Walcourt,Pry,,,10,,,,,10
Walcourt,Walcourt,Rognée,,,7,,,,,7
Walcourt,Walcourt,Somzée,,,18,,,,,18
Walcourt,Walcourt,Tarcienne,,,29,,,,,29
Walcourt,Walcourt,Thy-le-Chateau,,,29,,,,,29
Walcourt,Walcourt,Vogenée,,,5,,,,5,10
Walcourt,Walcourt,Walcourt,,,25,,,,,25
Walcourt,Walcourt,Yves-Gomezée,,,,,,,28,28
Yvoir,Yvoir,Dorinne,,,,14,,,,14
Yvoir,Yvoir,Durnal,,,,17,,,,17
Yvoir,Yvoir,Godinne,,,19,,,,10,29
Yvoir,Yvoir,Purnode,,,,10,,,,10
Yvoir,Yvoir,Spontin,,,,18,,,,18
Yvoir,Yvoir,Yvoir,,,28,25,,,,53
Aalst,Aalst,Aalst,,2,,,,,342,344
Aalst,Aalst,Baardegem,,7,3,,,,,10
Aalst,Aalst,Erembodegem,,6,,,,,97,103
Aalst,Aalst,Gijzegem,,10,,,,,11,21
Aalst,Aalst,Herdersem,,,,,,,18,18
Aalst,Aalst,Hofstade,,,,,,,38,38
Aalst,Aalst,Meldert,,21,,,,,,21
Aalst,Aalst,Moorsel,,20,,,,,10,30
Aalst,Aalst,Nieuwerkerken,,,,,,,32,32
Aalter,Aalter,Aalter,,,,,,145,51,196
Aalter,Aalter,Bellem,,,5,,,16,3,24
Aalter,Aalter,Lotenhulle,,,6,,,36,,42
Aalter,Aalter,Poeke,,,,1,,10,,11
Assenede,Assenede,Assenede,,,31,,,,39,70
Assenede,Assenede,Bassevelde,,,21,,,,19,40
Assenede,Assenede,Boekhoute,,,1,,,,26,27
Assenede,Assenede,Oosteeklo,,,26,,,,10,36
Berlare,Berlare,Berlare,55,,,,,,,55
Berlare,Berlare,Overmere,33,,,,,3,5,41
Berlare,Berlare,Uitbergen,19,,,,,,,19
Beveren,Beveren,Beveren-Waas,,1,,,,,143,144
Beveren,Beveren,Doel,,,,,,,13,13
Beveren,Beveren,Haasdonk,,,,,,,27,27
Beveren,Beveren,Kallo,,,,,,,96,96
Beveren,Beveren,Kieldrecht,,,,,,,39,39
Beveren,Beveren,Melsele,,,,,,,84,84
Beveren,Beveren,Verrebroek,,,,,,,37,37
Beveren,Beveren,Vrasene,,32,,,,,2,34
Brakel,Brakel,Elst,,,,13,,,,13
Brakel,Brakel,Everbeek,,,1,17,,,,18
Brakel,Brakel,Michelbeke,,,,19,,,,19
Brakel,Brakel,Nederbrakel,,,,60,,,,60
Brakel,Brakel,Opbrakel,,,,17,,,,17
Brakel,Brakel,Parike,,,,7,,,,7
Brakel,Brakel,Zegelsem,,,1,10,,,,11
Buggenhout,Buggenhout,Buggenhout,,,126,,,,,126
De Pinte,De Pinte,De Pinte,,,69,,,,,69
De Pinte,De Pinte,Zevergem,,,22,,,,1,23
Deinze,Deinze,Astene,,,,,,,50,50
Deinze,Deinze,Bachte-Maria-Leerne,,,,,,,32,32
Deinze,Deinze,Deinze,,,,,,,90,90
Deinze,Deinze,Gottem,,,,,,,16,16
Deinze,Deinze,Grammene,,,,,,,13,13
Deinze,Deinze,Meigem,,,,,,,19,19
Deinze,Deinze,Petegem-aan-de-Leie,,,,,,,121,121
Deinze,Deinze,Sint-Martens-Leerne,,,5,,,,11,16
Deinze,Deinze,Vinkt,,,,,,,19,19
Deinze,Deinze,Wontergem,,,,,,,19,19
Deinze,Deinze,Zeveren,,,,,,,10,10
Denderleeuw,Denderleeuw,Denderleeuw,,56,,,,,14,70
Denderleeuw,Denderleeuw,Iddergem,,,,,,,15,15
Denderleeuw,Denderleeuw,Welle,,7,,,,,17,24
Dendermonde,Dendermonde,Appels,,24,,,,,,24
Dendermonde,Dendermonde,Baasrode,,1,60,,,,,61
Dendermonde,Dendermonde,Dendermonde,,120,2,,,,1,123
Dendermonde,Dendermonde,Grembergen,1,,,,,,49,50
Dendermonde,Dendermonde,Mespelare,,4,,,,,,4
Dendermonde,Dendermonde,Oudegem,,34,,,,,,34
Dendermonde,Dendermonde,Schoonaarde,,24,,,,,,24
Dendermonde,Dendermonde,Sint-Gillis-Bij-Dendermonde,,57,72,,,,,129
Destelbergen,Destelbergen,Destelbergen,,,,,,83,3,86
Destelbergen,Destelbergen,Heusden,,,,,,74,,74
Eeklo,Eeklo,Eeklo,,,,,,,222,222
Erpe-Mere,Erpe-Mere,Aaigem,,,,3,,,12,15
Erpe-Mere,Erpe-Mere,Bambrugge,,,,,,,12,12
Erpe-Mere,Erpe-Mere,Burst,,,,,,,23,23
Erpe-Mere,Erpe-Mere,Erondegem,,,,,,,20,20
Erpe-Mere,Erpe-Mere,Erpe,1,,,,,,52,53
Erpe-Mere,Erpe-Mere,Mere,,,,,,,36,36
Erpe-Mere,Erpe-Mere,Ottergem,,,,,,,7,7
Erpe-Mere,Erpe-Mere,Vlekkem,,,,,,,5,5
Evergem,Evergem,Ertvelde,,,76,,,,10,86
Evergem,Evergem,Evergem,,,,,,,191,191
Evergem,Evergem,Sleidinge,,,,,,,64,64
Gavere,Gavere,Asper,,,,,,,50,50
Gavere,Gavere,Baaigem,,,,,,,7,7
Gavere,Gavere,Dikkelvenne,,,,,,,23,23
Gavere,Gavere,Gavere,,,,,,,29,29
Gavere,Gavere,Semmerzake,,,,,,,12,12
Gavere,Gavere,Vurste,,,,,,1,10,11
Gent,Gent,Drongen,,,123,,,,24,147
Gent,Gent,Gent Muide-Sifferdok,,,,,,,100,100
Gent,Gent,Gentbrugge,,,,,,58,12,70
Gent,Gent,Gent-Centrum,,,8,,,8,622,638
Gent,Gent,Gent-Zuid,,,4,,,,90,94
Gent,Gent,Ledeberg,,,,,,48,25,73
Gent,Gent,Mariakerke,,,,,,,99,99
Gent,Gent,Oostakker,,,,,,150,62,212
Gent,Gent,Sint-Amandsberg,,,,,,101,22,123
Gent,Gent,Sint-Denijs-Westrem,,,117,,,,1,118
Gent,Gent,Wondelgem,,,,,,,83,83
Gent,Gent,Zwijnaarde,,,77,,,,7,84
