municipality,municipality_geojson,district,section1,section2,section3,section4,section5,section6,excluded,total
Heist-op-den-Berg,Heist-op-den-Berg,Heist-op-den-Berg,,10,,,,,190,200
Heist-op-den-Berg,Heist-op-den-Berg,Itegem,,,,,,,44,44
Heist-op-den-Berg,Heist-op-den-Berg,Schriek,,19,,,,,15,34
Heist-op-den-Berg,Heist-op-den-Berg,Wiekevorst,,,,,,,31,31
Hemiksem,Hemiksem,Hemiksem,,,,,,,48,48
Herentals,Herentals,Herentals,76,,63,,,,115,254
Herentals,Herentals,Morkhoven,,,15,,,,1,16
Herentals,Herentals,Noorderwijk,,,45,,,,10,55
Herenthout,Herenthout,Herenthout,,,78,,,,1,79
Herselt,Herselt,Herselt,,,,,,90,13,103
Herselt,Herselt,Ramsel,,,,,,29,,29
Hoogstraten,Hoogstraten,Hoogstraten,,,,,81,,7,88
Hoogstraten,Hoogstraten,Meer,,,,,112,,,112
Hoogstraten,Hoogstraten,Meerle,,,,,47,,,47
Hoogstraten,Hoogstraten,Minderhout,,,,,46,,,46
Hoogstraten,Hoogstraten,Wortel,,,,,,,18,18
Hove,Hove,Hove,,,6,,,,26,32
Hulshout,Hulshout,Houtvenne,,,,,,,22,22
Hulshout,Hulshout,Hulshout,,,,,,,57,57
Hulshout,Hulshout,Westmeerbeek,,,,,,1,20,21
Kalmthout,Kalmthout,Kalmthout,,,,,129,,,129
Kapellen,Kapellen,Kapellen,,,,,104,,,104
Kapellen,Kapellen,Mariaburg,,,,,42,,,42
Kasterlee,Kasterlee,Kasterlee,82,,,,,,,82
Kasterlee,Kasterlee,Lichtaart,46,,,,,,5,51
Kasterlee,Kasterlee,Tielen,25,,,,,,,25
Kontich,Kontich,Kontich,,,158,,,,13,171
Kontich,Kontich,Waarloos,,,18,,,,,18
Laakdal,Laakdal,Eindhout,,,,,,,31,31
Laakdal,Laakdal,Varendonk,,,,,,,4,4
Laakdal,Laakdal,Veerle,,,,,,,40,40
Laakdal,Laakdal,Vorst,,,,,,,39,39
Lier,Lier,Koningshooikt,,,2,,,,39,41
Lier,Lier,Lier,,,,,,,239,239
Lille,Lille,Gierle,46,,,,,,1,47
Lille,Lille,Lille,53,,,,,,1,54
Lille,Lille,Poederlee,28,,,,,,,28
Lille,Lille,Wechelderzande,32,,,,,,,32
Lint,Lint,Lint,,,29,,,,2,31
Malle,Malle,Oostmalle,87,,,,,,1,88
